State_Name,District_Name,Composite_Quartile,Composite_Score,tag_food,tag_food_nc,Irrigation_Category,Gross_Irrigated_Area_Pct
KERALA,Thiruvananthapuram,Q3,65.16317626524418,Low,Low,Rainfed,3.185377157979898
MADHYA PRADESH,Ashoknagar,Q3,66.57698532650767,Medium,Medium,Highly Irrigated,65.57272878984325
MADHYA PRADESH,Barwani,Q3,69.54476706087017,Low,Low,Moderately Irrigated,40.26132121408862
MADHYA PRADESH,Bhind,Q4,84.95269627552213,Medium,Medium,Highly Irrigated,64.1292531064411
MADHYA PRADESH,Burhanpur,Q3,67.61841887046013,Low,Low,Moderately Irrigated,25.074035496191
MADHYA PRADESH,Chhatarpur,Q3,59.91649315728179,Medium,Medium,Moderately Irrigated,45.56704471192396
MADHYA PRADESH,Chhindwara,Q4,73.95476479872687,Medium,Medium,Moderately Irrigated,29.07404109802915
MADHYA PRADESH,Damoh,Q3,60.14123408071247,Low,Low,Moderately Irrigated,40.49065103083657
MADHYA PRADESH,Dewas,Q3,69.14938823485967,Medium,Medium,Highly Irrigated,58.06886285178958
MADHYA PRADESH,Dhar,Q3,67.91686811314088,Medium,Medium,Highly Irrigated,54.68780695535672
MADHYA PRADESH,Guna,Q3,58.9188730782595,Medium,Medium,Highly Irrigated,51.50880041092893
MADHYA PRADESH,Gwalior,Q4,73.53326897889369,Medium,Medium,Moderately Irrigated,34.6498732607586
MADHYA PRADESH,Hoshangabad,Q3,67.27422235989344,Medium,Medium,Moderately Irrigated,43.90606096406551
MADHYA PRADESH,Indore,Q4,86.11661378673386,Medium,Medium,Highly Irrigated,59.48180225895791
MADHYA PRADESH,Jabalpur,Q4,71.62936257095267,Medium,Medium,Moderately Irrigated,38.51376701035291
MADHYA PRADESH,Jhabua,Q3,62.46799743876778,Low,Low,Moderately Irrigated,40.70982778094364
MADHYA PRADESH,Katni,Q3,66.5863404278951,Low,Low,Moderately Irrigated,43.90539696446099
MADHYA PRADESH,Mandsaur,Q3,59.43810866535221,Medium,Medium,Highly Irrigated,50.94399118530788
MADHYA PRADESH,Morena,Q4,87.87225365192135,Medium,Medium,Highly Irrigated,47.87695889460738
MADHYA PRADESH,Narsimhapur,Q4,73.60128433006336,Medium,Medium,Highly Irrigated,56.64390802315191
MADHYA PRADESH,Neemuch,Q3,56.43107199966204,Low,Low,Moderately Irrigated,39.40669029741714
MADHYA PRADESH,Niwari,Q3,60.26062434090446,Low,Low,Highly Irrigated,61.2486242362139
MADHYA PRADESH,Panna,Q3,62.12206054355201,Low,Low,Moderately Irrigated,26.34111226818262
MADHYA PRADESH,Raisen,Q3,58.46755042400082,Medium,Medium,Moderately Irrigated,47.60646883755565
MADHYA PRADESH,Rajgarh,Q3,56.89933482300255,Medium,Medium,Highly Irrigated,61.57277300016226
MADHYA PRADESH,Rewa,Q3,58.34282844449032,Medium,Medium,Highly Irrigated,49.75673762813223
MADHYA PRADESH,Satna,Q3,56.60676602239555,Medium,Medium,Moderately Irrigated,45.30044502392138
MADHYA PRADESH,Shajapur,Q3,58.58323517558672,Medium,Medium,Highly Irrigated,73.69032481794012
MADHYA PRADESH,Sheopur,Q4,77.54807623304524,Low,Low,Moderately Irrigated,25.27863196579915
MADHYA PRADESH,Singrauli,Q3,60.79466642638994,Low,Low,Sparsely Irrigated,11.23437175237176
MADHYA PRADESH,Ujjain,Q3,67.64157756683117,Medium,Medium,Highly Irrigated,84.21100096085421
MAHARASHTRA,Kolhapur,Q4,80.35426423442199,High,High,Sparsely Irrigated,18.41243863
MAHARASHTRA,Raigarh,Q3,59.97807478872989,,,Sparsely Irrigated,7.467811159
MAHARASHTRA,Ratnagiri,Q3,71.42811889830267,Low,Low,Rainfed,3.076923077
MAHARASHTRA,Sindhudurg,Q3,64.45445712752952,Low,Low,Sparsely Irrigated,11.9760479
MAHARASHTRA,Wardha,Q3,68.65913114605407,Low,Low,Sparsely Irrigated,9.457918552
MANIPUR,Bishnupur,Q4,72.34760604294893,Low,Low,,
MANIPUR,Imphal East,Q4,71.57259877694868,Low,Low,,
MANIPUR,Imphal West,Q4,74.96959962200545,Low,Low,,
MANIPUR,Thoubal,Q4,75.03331548080612,Low,Low,Moderately Irrigated,26.43723475800654
MEGHALAYA,Ribhoi,Q3,68.07902156789721,,,Rainfed,5.523440924239793
MEGHALAYA,South West Garo Hills,Q3,64.27574257723361,Low,Low,Sparsely Irrigated,11.23788846415909
MEGHALAYA,West Garo Hills,Q3,58.02607630615722,Low,Low,Rainfed,5.880196278122396
NAGALAND,Dimapur,Q3,62.87190228146351,Low,Low,Moderately Irrigated,40.50955414012739
NAGALAND,Kohima,Q3,60.60247115316182,Low,Low,Rainfed,7.057458286287793
NAGALAND,Mon,Q3,61.0833683619687,Low,Low,Rainfed,3.083961941882409
NAGALAND,Peren,Q3,59.97738129560813,Low,Low,Sparsely Irrigated,7.347874491926825
NAGALAND,Phek,Q3,64.20959997208864,Low,Low,Sparsely Irrigated,7.594380602614224
NAGALAND,Tuensang,Q3,56.62088149150053,Low,Low,Rainfed,4.285466025603893
