State_Name,District_Name,Composite_Quartile,Composite_Score,tag_food,tag_food_nc,Irrigation_Category,Gross_Irrigated_Area_Pct
RAJASTHAN,Hanumangarh,Q2,45.87676629256821,Medium,Medium,Highly Irrigated,51.56233095141189
RAJASTHAN,Jodhpur,Q2,42.05427546332047,Medium,Medium,Sparsely Irrigated,16.68643419243305
RAJASTHAN,Nagaur,Q2,45.65653666120525,Medium,Medium,Moderately Irrigated,25.04461007473382
RAJASTHAN,Pratapgarh,Q3,65.40923565487454,Low,Low,Moderately Irrigated,42.07855069795387
RAJASTHAN,Sikar,Q2,45.98383736981999,Medium,Medium,Moderately Irrigated,27.68389426601314
TAMIL NADU,Kanniyakumari,Q3,65.26114795112451,Low,Low,Sparsely Irrigated,14.57356459330144
TAMIL NADU,Nagapattinam,Q3,61.35831237716519,Low,Low,Moderately Irrigated,32.65877775976658
TAMIL NADU,Namakkal,Q2,43.07797642790067,Medium,Medium,Sparsely Irrigated,21.62901410374823
TAMIL NADU,Thiruvarur,Q3,66.06887597876889,Low,Low,Highly Irrigated,70.17676876052053
TAMIL NADU,Virudhunagar,Q3,70.79722785489665,Low,Low,Sparsely Irrigated,13.3872073868256
TELANGANA,Kumuram Bheem Asifabad,Q3,64.69768649768417,Low,Low,Rainfed,5.649391710158351
TELANGANA,Mahabubnagar,Q2,46.48851711039076,Medium,Medium,Moderately Irrigated,34.9305532836792
TELANGANA,Nalgonda,Q2,53.15376647178245,Medium,Medium,Moderately Irrigated,34.17993681278364
TELANGANA,Sangareddy,Q3,67.41647152259155,Low,Low,Sparsely Irrigated,18.29815436807046
TELANGANA,Vikarabad,Q3,60.95492365600319,Low,Low,Sparsely Irrigated,20.22758735256659
TELANGANA,Wanaparthy,Q3,70.69842992808573,Low,Low,Highly Irrigated,49.08615827019852
TRIPURA,Dhalai,Q3,56.27704329612853,Low,Low,Rainfed,2.679234529093767
TRIPURA,Gomati,Q3,59.85221026974297,Low,Low,Sparsely Irrigated,11.63637585245406
TRIPURA,Khowai,Q3,60.50466067081749,Low,Low,Sparsely Irrigated,10.4938070226949
TRIPURA,South Tripura,Q3,68.45424582390878,Low,Low,Sparsely Irrigated,12.46845027763756
