state_name,district_name,food_TKcal,food_no_coconut_TKcal,total_TKcal,coconut_kcal_share,z_food,z_food_nc,z_total,tag_food,tag_food_nc,tag_total,kcal_per_hectare,food_crop_kcal_share
Jammu And Kashmir,Udhampur,0.5026080686292375,0.5026080686292375,0.5026080686292375,0.0,-0.5246952489965881,-0.5206899125013588,-0.5246952489965881,Low,Low,Low,5255577.134153217,0.999831164822922
Jharkhand,Bokaro,0.19116962289113984,0.19116962289113984,0.19116962289113984,0.0,-0.6367029017380614,-0.6327424413465539,-0.6367029017380614,Low,Low,Low,4157539.246464582,0.99994651413997
Jharkhand,Chatra,0.27399368188667833,0.27399368188667833,0.27399368188667833,0.0,-0.6069155438650615,-0.6029431491054211,-0.6069155438650615,Low,Low,Low,4722736.115747383,0.999992597418997
Jharkhand,Deoghar,0.3223637149900852,0.3223637149900852,0.3223637149900852,0.0,-0.5895194453901287,-0.5855400808467245,-0.5895194453901287,Low,Low,Low,5073767.943237936,0.9999390390035734
Jharkhand,Dhanbad,0.14689670460493467,0.14689670460493467,0.14689670460493467,0.0,-0.6526254884485764,-0.648671407475218,-0.6526254884485764,Low,Low,Low,4910866.909000455,1.0
Jharkhand,Dumka,0.6180175041345454,0.6180175041345454,0.6180175041345454,0.0,-0.4831886843702072,-0.4791667181817941,-0.4831886843702072,Low,Low,Low,5119528.765210588,0.9993584638493178
Jharkhand,East Singhbum,0.5228435350567476,0.5228435350567476,0.5228435350567476,0.0,-0.517417640442825,-0.5134093881582872,-0.517417640442825,Low,Low,Low,4274139.436334976,0.9999882446721032
Jharkhand,Garhwa,0.3092825759863142,0.3092825759863142,0.3092825759863142,0.0,-0.594224027290815,-0.5902465476481311,-0.594224027290815,Low,Low,Low,3818923.97257266,0.999382999812012
Jharkhand,Giridih,0.424745869940531,0.424745869940531,0.424745869940531,0.0,-0.5526980926780848,-0.5487039755815911,-0.5526980926780848,Low,Low,Low,4573626.304295564,0.999996344913326
Jharkhand,Godda,0.33385926397320514,0.33385926397320514,0.33385926397320514,0.0,-0.5853851149110436,-0.5814040939393609,-0.5853851149110436,Low,Low,Low,4319539.458435074,0.9998649520995284
Jharkhand,Gumla,0.7768065121849038,0.7768065121849038,0.7768065121849038,0.0,-0.42608082143210285,-0.42203597485723543,-0.42608082143210285,Low,Low,Low,3983443.851655742,0.999707740806954
Jharkhand,Hazaribagh,0.4018265798292204,0.4018265798292204,0.4018265798292204,0.0,-0.5609409282142844,-0.5569501136273374,-0.5609409282142844,Low,Low,Low,4929837.123499199,0.9999339290653494
Jharkhand,Jamtara,0.23915997810217504,0.23915997810217504,0.23915997810217504,0.0,-0.6194433529733663,-0.6154759775070258,-0.6194433529733663,Low,Low,Low,4789268.781858794,1.0
Jharkhand,Khunti,0.37178967170707067,0.37178967170707067,0.37178967170707067,0.0,-0.5717435880028017,-0.5677571015244195,-0.5717435880028017,Low,Low,Low,4353976.578001406,1.0
Jharkhand,Koderma,0.1317125298095299,0.1317125298095299,0.1317125298095299,0.0,-0.6580864191747713,-0.654134526134895,-0.6580864191747713,Low,Low,Low,4377302.073530228,0.9999871918907932
Jharkhand,Latehar,0.239241569551045,0.239241569551045,0.239241569551045,0.0,-0.6194140089190378,-0.6154466216959398,-0.6194140089190378,Low,Low,Low,3787194.1812645616,1.0
Jharkhand,Lohardaga,0.2867372191790837,0.2867372191790837,0.2867372191790837,0.0,-0.6023323791361119,-0.5983581481217985,-0.6023323791361119,Low,Low,Low,5166125.1171630975,0.9999044547256708
Jharkhand,Pakur,0.34985272566908704,0.34985272566908704,0.34985272566908704,0.0,-0.5796331272284668,-0.5756498017107149,-0.5796331272284668,Low,Low,Low,4300403.701411074,0.9992102213022191
Jharkhand,Palamu,0.5160393947599755,0.5160393947599755,0.5160393947599755,0.0,-0.5198647236273012,-0.5158574517718334,-0.5198647236273012,Low,Low,Low,3793365.674231788,0.999928288864895
Jharkhand,Ramgarh,0.205161864010101,0.205161864010101,0.205161864010101,0.0,-0.6316706454261817,-0.6277081688505056,-0.6316706454261817,Low,Low,Low,5222122.494583911,1.0
Jharkhand,Ranchi,0.9414555099147058,0.9414555099147058,0.9414555099147058,0.0,-0.36686543548884026,-0.3627968641439551,-0.36686543548884026,Low,Low,Low,4631300.823477764,0.999795741726059
Jharkhand,Sahebganj,0.23857425501804996,0.23857425501804996,0.23857425501804996,0.0,-0.6196540060533156,-0.6156867149855785,-0.6196540060533156,Low,Low,Low,3963538.88586587,0.999455126607529
Jharkhand,Saraikela Kharsawan,0.42227627714411986,0.42227627714411986,0.42227627714411986,0.0,-0.5535862723365007,-0.5495925110910718,-0.5535862723365007,Low,Low,Low,4474074.573108625,1.0
Jharkhand,Simdega,0.5605558071925356,0.5605558071925356,0.5605558071925356,0.0,-0.5038545651729545,-0.4998408788135326,-0.5038545651729545,Low,Low,Low,4335693.208518466,1.0
Jharkhand,West Singhbhum,0.5717685510120893,0.5717685510120893,0.5717685510120893,0.0,-0.499821944495558,-0.4958066424581056,-0.499821944495558,Low,Low,Low,3364747.962885208,0.9998640725274668
Karnataka,Bagalkote,4.6112107871204495,4.608881531484086,4.6112107871204495,0.0005051288574509,0.9529480954363436,0.9567074093107865,0.9529480954363436,Medium,Medium,Medium,8577973.154783744,0.9909970295212046
